rank,repo,url,stars,language,license,updated,type,chinese_relevance,academic_relevance,main_use,recommendation,score,capability_tags,integration_action,license_risk,complexity_risk,copy_code_allowed,should_extract_prompt,should_create_script,should_create_skill,local_asset,reason
1,funNLP,https://github.com/fighting41love/funNLP,81062,Python,,2026-06-04,资源合集,高,中,中文NLP资源大全（含纠错/分词/情感分析/知识图谱）,强烈推荐,92,grammar_correction;resource_index,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
2,gpt_academic,https://github.com/binary-husky/gpt_academic,70819,Python,GPL-3.0,2026-06-04,工具,高,高,GPT学术优化：论文阅读/润色/写作一体化,强烈推荐,95,academic_polish,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
3,pycorrector,https://github.com/shibing624/pycorrector,6450,Python,Apache-2.0,2026-06-04,Python包,高,高,中文文本纠错工具包（Kenlm/T5/MacBERT/ChatGLM3/Qwen2.5）,强烈推荐,90,grammar_correction,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
4,thuthesis,https://github.com/tuna/thuthesis,5382,TeX,LPPL-1.3c,2026-06-04,LaTeX模板,高,高,清华大学学位论文LaTeX模板,强烈推荐,88,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
5,text2vec,https://github.com/shibing624/text2vec,4966,Python,Apache-2.0,2026-05-31,Python包,高,中,文本向量化/语义相似度（Word2Vec/SBERT/CoSENT）,推荐,82,resource_index,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
6,chatgpt-prompts-for-academic-writing,https://github.com/ahmetbersoz/chatgpt-prompts-for-academic-writing,4710,,,2026-06-04,Prompt仓库,中,高,学术写作ChatGPT提示词最全合集,强烈推荐,85,academic_polish;writing_prompt;resource_index,prompt_template,medium,medium,no,yes,no,no,,Auto-classified: prompt_template
7,Paper-Writing-Tips,https://github.com/MLNLP-World/Paper-Writing-Tips,4477,,,2026-06-04,教程,中,高,MLNLP论文写作避坑指南（中文社区维护）,强烈推荐,86,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
8,zotfile,https://github.com/jlegewie/zotfile,4329,Java,,2026-06-03,Zotero插件,高,高,Zotero PDF附件管理/重命名/同步,强烈推荐,88,citation_reference;zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
9,ucasthesis,https://github.com/mohuangrui/ucasthesis,3866,TeX,,2026-06-04,LaTeX模板,高,高,中国科学院大学学位论文LaTeX模板,强烈推荐,87,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
10,SJTUThesis,https://github.com/sjtug/SJTUThesis,3793,TeX,Apache-2.0,2026-06-04,LaTeX模板,高,高,上海交通大学学位论文LaTeX模板,强烈推荐,87,markdown_latex_typst,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
11,latex_paper_writing_tips,https://github.com/guanyingc/latex_paper_writing_tips,3767,TeX,,2026-06-04,教程,中,高,LaTeX论文写作实用技巧,推荐,82,academic_polish;markdown_latex_typst;writing_guide,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
12,Research-Paper-Writing-Skills,https://github.com/Master-cai/Research-Paper-Writing-Skills,3280,,MIT,2026-06-04,Skill包,中,高,ML/CV/NLP论文写作Claude Code Skills,强烈推荐,87,academic_polish;ai_agent_workflow,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
13,Paper2Slides,https://github.com/HKDUDS/Paper2Slides,3274,Python,MIT,2026-06-04,工具,中,高,论文→PPT自动转换（RAG+LLM）,强烈推荐,85,group_meeting_ppt,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
14,notero,https://github.com/dvanoni/notero,3154,TypeScript,MIT,2026-06-03,Zotero插件,高,高,Zotero→Notion同步,强烈推荐,86,citation_reference;zotero_obsidian,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
15,Zutilo,https://github.com/wshanks/Zutilo,1831,JavaScript,Other,2026-06-02,Zotero插件,高,高,Zotero编辑增强功能,推荐,82,citation_reference;zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
16,suppr-zotero-plugin,https://github.com/WildDataX/suppr-zotero-plugin,1609,,,,Zotero插件,高,高,Zotero PDF/Word/PPT翻译插件,推荐,80,citation_reference;zotero_obsidian;group_meeting_ppt,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
17,AcademicForge,https://github.com/HughYau/AcademicForge,1514,Shell,Other,2026-06-04,Skill包,高,高,一站式学术研究Skills平台,强烈推荐,84,ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
18,paperdebugger,https://github.com/PaperDebugger/paperdebugger,1483,TypeScript,AGPL-3.0,2026-06-01,VS Code插件,中,高,编辑器内学术写作/审阅/编辑多Agent系统,推荐,80,academic_polish;ai_agent_workflow,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
19,zotero-mdnotes,https://github.com/argenos/zotero-mdnotes,1395,JavaScript,GPL-3.0,2026-05-29,Zotero插件,高,高,Zotero→Markdown笔记导出,强烈推荐,84,citation_reference;markdown_latex_typst;zotero_obsidian,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
20,zotmoov,https://github.com/wileyyugioh/zotmoov,1377,JavaScript,GPL-3.0,2026-06-04,Zotero插件,高,高,自动移动和链接Zotero附件,推荐,81,citation_reference;zotero_obsidian,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
21,fduthesis,https://github.com/stone-zeng/fduthesis,1035,TeX,LPPL-1.3c,2026-06-04,LaTeX模板,高,高,复旦大学学位论文LaTeX模板,推荐,83,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
22,medical-research-skills,https://github.com/aipoch/medical-research-skills,984,Python,MIT,2026-06-04,Skill包,中,高,医学研究Agent Skills（学术写作类）,推荐,78,academic_polish;ai_agent_workflow,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
23,zotero-citationcounts,https://github.com/eschnett/zotero-citationcounts,932,JavaScript,MPL-2.0,2026-05-28,Zotero插件,高,高,引用计数自动获取,推荐,79,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
24,scite-zotero-plugin,https://github.com/scitedotai/scite-zotero-plugin,833,TypeScript,,2026-06-02,Zotero插件,高,高,查看论文如何被引用（支持/对比/提及）,推荐,78,citation_reference;zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
25,zotero-plugin-template,https://github.com/windingwind/zotero-plugin-template,826,TypeScript,AGPL-3.0,2026-06-03,开发工具,高,中,Zotero插件开发模板,推荐,76,citation_reference;markdown_latex_typst;zotero_obsidian,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
26,zotero-ocr,https://github.com/UB-Mannheim/zotero-ocr,791,JavaScript,AGPL-3.0,2026-06-02,Zotero插件,高,高,Zotero OCR文字识别,推荐,79,citation_reference;zotero_obsidian,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
27,ChatGPT-Academic-Prompt,https://github.com/xuhangc/ChatGPT-Academic-Prompt,777,,MIT,2026-06-03,Prompt仓库,高,高,中文学术写作ChatGPT提示词模板,强烈推荐,83,academic_polish;markdown_latex_typst;writing_prompt,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
28,PaperWriting,https://github.com/wangdongdut/PaperWriting,681,,,2026-05-31,教程,中,高,论文写作经验总结,推荐,75,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
29,zotero-markdb-connect,https://github.com/daeh/zotero-markdb-connect,663,TypeScript,MIT,2026-06-01,Zotero插件,高,高,Markdown数据库双向连接Zotero,强烈推荐,84,citation_reference;markdown_latex_typst;zotero_obsidian,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
30,zotero-plugins（合集）,https://github.com/zotero-chinese/zotero-plugins,657,TypeScript,MIT,2026-06-01,资源合集,高,高,中文Zotero社区插件合集,强烈推荐,81,citation_reference;zotero_obsidian;resource_index,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
31,Oh-my--paper,https://github.com/LigphiDonk/Oh-my--paper,620,TypeScript,MIT,2026-06-04,Agent工作流,中,高,终端学术研究实验室（文献→实验→论文）,推荐,78,literature_review;ai_agent_workflow,prompt_template,low,medium,yes,yes,no,no,,Auto-classified: prompt_template
32,ChineseErrorCorrector,https://github.com/TW-NLP/ChineseErrorCorrector,611,Python,,2026-06-03,工具,高,高,中文文本纠错综合平台（2026 ACL Oral）,强烈推荐,85,grammar_correction,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
33,zotero-scholar-citations,https://github.com/beloglazov/zotero-scholar-citations,609,JavaScript,,2026-06-02,Zotero插件,高,高,Google Scholar引用计数,推荐,78,citation_reference;zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
34,Academic-Writing-Check,https://github.com/devd/Academic-Writing-Check,597,Perl,,2026-05-14,工具,低,高,英文被动语态/弱词/重复词检查,推荐,72,resource_index,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
35,PaperForge,https://github.com/QJHWC/PaperForge,564,Python,Other,2026-06-02,Agent工作流,中,高,端到端AI论文写作（idea→LaTeX）,推荐,76,academic_polish;markdown_latex_typst;ai_agent_workflow,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
36,zotero-storage-scanner,https://github.com/retorquere/zotero-storage-scanner,547,TypeScript,,2026-04-26,Zotero插件,高,高,检测损坏/重复附件链接,推荐,77,zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
37,Auto-Slides,https://github.com/Westlake-AGI-Lab/Auto-Slides,497,Python,MIT,,工具,中,高,多Agent自动PPT生成,推荐,76,group_meeting_ppt;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
38,TongjiThesis,https://github.com/TJ-CSCCG/TongjiThesis,425,TeX,LPPL-1.3c,2026-06-04,LaTeX模板,高,高,同济大学学位论文LaTeX模板,推荐,80,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
39,zotero-google-scholar-citation-count,https://github.com/justinribeiro/zotero-google-scholar-citation-count,407,JavaScript,MPL-2.0,2026-06-03,Zotero插件,高,高,Google Scholar引用统计,推荐,77,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
40,ZoteroDuplicatesMerger,https://github.com/frangoud/ZoteroDuplicatesMerger,405,JavaScript,MPL-2.0,2026-05-24,Zotero插件,高,高,自动合并重复条目,推荐,76,zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
41,academic-writing-guide,https://github.com/SYSUSELab/academic-writing-guide,359,,,2026-05-31,教程,高,高,中大学术写作教程（防止低级错误）,强烈推荐,82,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
42,AcademicMarkdown,https://github.com/smathot/academicmarkdown,355,Python,GPL-3.0,2026-05-02,工具,中,高,Markdown学术写作工具,推荐,75,academic_polish;markdown_latex_typst,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
43,Obsidian-academic-export,https://github.com/NicklasVraa/Obsidian-academic-export,339,CSS,,2026-05-24,Obsidian插件,中,高,Obsidian笔记导出为学术论文,推荐,74,zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
44,AI-Text-Humanizer-App,https://github.com/DadaNanjesha/AI-Text-Humanizer-App,337,Python,MIT,2026-06-04,工具,中,中,"AI文本""人化""工具",可观察,60,resource_index,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
45,CQUThesis,https://github.com/nanmu42/CQUThesis,337,TeX,Other,2026-06-04,LaTeX模板,高,高,重庆大学学位论文LaTeX模板,推荐,79,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
46,academic-writing-skills,https://github.com/bahayonghang/academic-writing-skills,308,Python,,2026-06-04,Skill包,中,高,AI后写作工具包（格式验证/语法风格润色/去AI编辑/参考文献检查）,强烈推荐,82,grammar_correction;academic_polish;literature_review;citation_reference;ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
47,ResearchClaw,https://github.com/ymx10086/ResearchClaw,300,Python,Other,2026-06-03,Agent工作流,中,高,个人AI研究助手（文献综述/笔记/实验/写作）,推荐,75,academic_polish;literature_review;ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
48,OpenPrism,https://github.com/OpenDCAI/OpenPrism,299,TypeScript,,2026-06-03,桌面软件,中,高,开源AI学术写作工作区（LaTeX编辑+PDF预览+AI辅助）,可观察,72,academic_polish;markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
49,inciteful-zotero-plugin,https://github.com/inciteful-xyz/inciteful-zotero-plugin,279,TypeScript,AGPL-3.0,2026-06-03,Zotero插件,高,高,Inciteful.xyz文献网络分析集成,推荐,75,literature_review;zotero_obsidian,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
50,zotero-pdf-background,https://github.com/q77190858/zotero-pdf-background,262,JavaScript,,2026-06-04,Zotero插件,高,中,PDF护眼背景色,可观察,68,zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
51,chatgpt_please_improve_my_paper_writing,https://github.com/ashawkey/chatgpt_please_improve_my_paper_writing,253,Python,MIT,2026-04-30,工具,中,高,ChatGPT论文润色薄包装（透明标注AI辅助）,推荐,76,academic_polish,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
52,ScholarCopilot,https://github.com/TIGER-AI-Lab/ScholarCopilot,248,Python,MIT,2026-06-02,工具,中,高,大模型学术写作（准确引用）[COLM 2025],推荐,76,academic_polish;citation_reference;dataset_model,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
53,claude-skills-journalism,https://github.com/jamditis/claude-skills-journalism,245,HTML,MIT,2026-06-04,Skill包,低,中,新闻/学术写作Claude Code Skills,可观察,65,academic_polish;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
54,bert_for_corrector,https://github.com/tongchangD/bert_for_corrector,242,Python,,2026-03-30,工具,高,高,基于BERT的中文文本纠错,推荐,78,grammar_correction,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
55,zotero-inspire,https://github.com/fkguo/zotero-inspire,225,TypeScript,MPL-2.0,2026-05-15,Zotero插件,高,高,INSPIRE-HEP高能物理数据库集成,推荐,74,zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
56,HagenbergThesis,https://github.com/Digital-Media/HagenbergThesis,224,TeX,Other,2026-05-25,LaTeX模板,低,高,Hagenberg学位论文LaTeX模板,可观察,68,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
57,zotodo,https://github.com/wbthomason/zotodo,222,TypeScript,MIT,2026-05-15,Zotero插件,高,高,Zotero论文→Todoist任务,推荐,74,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
58,lmms-lab-writer,https://github.com/EvolvingLMMs-Lab/lmms-lab-writer,219,TypeScript,MIT,2026-06-04,桌面软件,中,高,Agentic LaTeX Writer（本地优先AI学术写作编辑器）,推荐,72,academic_polish;markdown_latex_typst;ai_agent_workflow,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
59,zotero-plugins（dcartertod）,https://github.com/dcartertod/zotero-plugins,211,JavaScript,Apache-2.0,2026-05-04,Zotero插件,高,高,Zotero小型功能增强集合,可观察,72,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
60,pubpeer_zotero_plugin,https://github.com/PubPeerFoundation/pubpeer_zotero_plugin,209,TypeScript,,2026-06-01,Zotero插件,高,高,PubPeer同行评审评论显示,推荐,73,zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
61,HFUT_Thesis,https://github.com/HFUTTUG/HFUT_Thesis,207,TeX,LPPL-1.3c,2026-06-02,LaTeX模板,高,高,合肥工业大学学位论文LaTeX模板,推荐,77,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
62,chatgpt_wallfree,https://github.com/elphen-wang/chatgpt_wallfree,202,,GPL-3.0,2026-05-26,教程,高,中,ChatGPT Academic免翻墙教程,可观察,68,writing_guide,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
63,zotero-zotts,https://github.com/ImperialSquid/zotero-zotts,202,TypeScript,AGPL-3.0,2026-06-01,Zotero插件,高,中,Zotero文字转语音,可观察,68,citation_reference;zotero_obsidian,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
64,zotero-plugin-toolkit,https://github.com/windingwind/zotero-plugin-toolkit,192,TypeScript,MIT,2026-05-15,开发工具,高,中,Zotero插件开发工具包,推荐,72,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
65,ucl-latex-thesis-templates,https://github.com/UCL/ucl-latex-thesis-templates,189,TeX,Other,2026-04-28,LaTeX模板,低,高,UCL学位论文LaTeX模板,可观察,65,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
66,ZoteroPlugins,https://github.com/l0o0/ZoteroPlugins,185,Python,MIT,2026-06-02,Zotero插件,高,高,中文Zotero插件集合（个人维护）,推荐,74,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
67,humanizer-zh-academic,https://github.com/redbaronyyyyy-eng/humanizer-zh-academic,170,,MIT,2026-06-04,Skill,高,高,中文学术写作AI检测率降低Skill,可观察,62,academic_polish;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
68,MathModel-Skill,https://github.com/yushui2022/MathModel-Skill,144,Python,,2026-06-03,Skill包,中,中,数学建模→论文→Word交付Skills,可观察,65,ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
69,PaperWritingTips,https://github.com/cooelf/PaperWritingTips,139,,,2026-04-28,教程,高,高,科技论文写作经验记录和总结（中文）,推荐,78,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
70,LLM-Academic-Writing,https://github.com/dixiyao/LLM-Academic-Writing,137,TypeScript,Apache-2.0,2026-05-29,工具,中,高,LLM学术写作研究工具,推荐,72,academic_polish,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
71,drshahizan/obsidian,https://github.com/drshahizan/obsidian,134,HTML,,2026-05-30,教程,中,高,Obsidian学术写作工作坊（SLR+AI）,可观察,65,academic_polish;zotero_obsidian;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
72,ZotMeta,https://github.com/RoadToDream/ZotMeta,133,JavaScript,MIT,2026-05-21,Zotero插件,高,高,文献元数据更新,推荐,73,literature_review;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
