rank,repo,url,stars,language,license,updated,type,chinese_relevance,academic_relevance,main_use,recommendation,score,capability_tags,integration_action,license_risk,complexity_risk,copy_code_allowed,should_extract_prompt,should_create_script,should_create_skill,local_asset,reason
73,seuthesis,https://github.com/seucs/seuthesis,132,TeX,MIT,2026-04-22,LaTeX模板,高,高,东南大学学位论文LaTeX模板,推荐,77,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
74,ZJUthesis,https://github.com/shuwei1204/ZJUthesis,131,PostScript,,2026-01-05,LaTeX模板,高,高,浙江大学学位论文LaTeX模板,推荐,76,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
75,angry-reviewer,https://github.com/anufrievroman/angry-reviewer,124,Python,Other,2026-06-02,工具,低,高,学术写作风格检查器（www.angryreviewer.com）,推荐,70,academic_polish;literature_review,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
76,njustThesis,https://github.com/jiec827/njustThesis,117,TeX,GPL-2.0,2026-06-02,LaTeX模板,高,高,南京理工大学学位论文LaTeX模板,推荐,76,markdown_latex_typst,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
77,paper_writing_info,https://github.com/Niko-Group/paper_writing_info,109,,,2026-06-01,教程,中,高,论文写作信息汇总,推荐,72,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
78,latex-paper-writing-guide,https://github.com/LimHyungTae/latex-paper-writing-guide,104,,,2026-05-27,教程,低,高,韩文LaTeX写作指南,可观察,65,academic_polish;markdown_latex_typst;writing_guide,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
79,Ze-Notes,https://github.com/frianasoa/Ze-Notes,102,TypeScript,,2026-06-01,Zotero插件,高,高,Zotero笔记管理/可视化,推荐,72,citation_reference;zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
80,NTUA-ECE-Thesis-Template,https://github.com/estamos/NTUA-ECE-Thesis-Template,101,TeX,MIT,2026-04-05,LaTeX模板,低,高,雅典国家技术大学论文模板,可观察,64,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
81,tex-thesis,https://github.com/Amet13/tex-thesis,100,TeX,CC-BY-SA-4.0,2026-06-01,LaTeX模板,低,高,通用现代LaTeX论文模板,可观察,65,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
82,pandoc_alfred,https://github.com/chrisgrieser/pandoc_alfred,99,JavaScript,MIT,2025-12-09,工具,中,高,Pandoc Markdown学术写作套件（Alfred集成）,推荐,72,academic_polish;markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
83,research-design,https://github.com/drshahizan/research-design,94,Jupyter Notebook,,2026-03-06,教程,中,高,研究设计课程（从想法到学术写作）,可观察,68,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
84,vim-angry-reviewer,https://github.com/anufrievroman/vim-angry-reviewer,91,Vim Script,GPL-3.0,2026-01-15,编辑器插件,低,高,Vim学术写作风格检查,可观察,62,academic_polish,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
85,latex-thesis-template（severinlandolt）,https://github.com/severinlandolt/latex-thesis-template,87,TeX,MIT,2026-01-29,LaTeX模板,低,高,人类友好的LaTeX论文模板,可观察,64,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
86,academic-writing-agents,https://github.com/andrehuang/academic-writing-agents,86,,MIT,2026-06-04,Agent工作流,中,高,10个专业Agent学术写作审查/研究/草拟/润色,推荐,74,academic_polish;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
87,PaperChain,https://github.com/MuXiangChen/PaperChain,85,Python,MIT,2026-04-04,Agent工作流,中,高,AI驱动学术写作管线（idea→Word文档）,推荐,72,academic_polish;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
88,sduthesis,https://github.com/Liam0205/sduthesis,85,TeX,Other,2026-06-03,LaTeX模板,高,高,山东大学学位论文LaTeX模板,推荐,76,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
89,pandoc-templates,https://github.com/TomBener/pandoc-templates,83,CSS,MIT,2026-05-18,工具,高,高,Pandoc中文学术写作模板（MD→DOCX/PDF）,强烈推荐,78,academic_polish;markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
90,jcorrector,https://github.com/jiangnanboy/jcorrector,83,Java,Apache-2.0,2026-04-24,工具,高,高,Java中文文本纠错工具,推荐,76,grammar_correction,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
91,logseq-zoterolocal-plugin,https://github.com/benjypng/logseq-zoterolocal-plugin,82,TypeScript,MIT,2026-06-02,Logseq插件,高,高,Logseq本地连接Zotero,推荐,74,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
92,KeepZotero,https://github.com/yhmtsai/KeepZotero,82,JavaScript,BSD-3-Clause,2026-05-20,Zotero插件,高,中,Zotero最小化到托盘,可观察,68,citation_reference;zotero_obsidian,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
93,zotero-save-with-tag,https://github.com/NicoleMayer/zotero-save-with-tag,80,JavaScript,,2025-09-02,Zotero插件,高,高,保存条目时自动添加标签,可观察,70,zotero_obsidian,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
94,ecnuthesis,https://github.com/Koyamin/ecnuthesis,79,TeX,LPPL-1.3c,2026-05-30,LaTeX模板,高,高,华东师范大学学位论文LaTeX模板,推荐,76,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
95,quarto-chinese,https://github.com/TomBener/quarto-chinese,79,Lua,MIT,2026-05-22,工具,高,高,Quarto中文学术写作模板,推荐,76,academic_polish;markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
96,obsidian-for-academia,https://github.com/MarcosNicolau/obsidian-for-academia,79,TeX,,2026-05-28,教程,中,高,Obsidian学术写作配置指南,推荐,72,academic_polish;zotero_obsidian;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
97,chinese_spelling_correction,https://github.com/fushengwuyu/chinese_spelling_correction,75,Python,,2025-12-08,工具,高,高,Keras中文拼写纠错模型,推荐,77,grammar_correction;dataset_model,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
98,awesome-chinese-text-correction,https://github.com/taishan1994/awesome-chinese-text-correction,75,,,2026-05-13,资源合集,高,高,中文文本纠错论文/比赛/工具索引,强烈推荐,80,grammar_correction;resource_index,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
99,CTC-Report,https://github.com/HillZhang1999/CTC-Report,73,,Apache-2.0,2025-08-07,资源,高,高,CTC2021中文文本纠错大赛SOTA方案,推荐,74,grammar_correction;resource_index,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
100,chatgpt_academic_english,https://github.com/kindle4jerry/chatgpt_academic_english,72,Python,GPL-3.0,2026-03-19,工具,中,高,GPT Academic英文提问版,可观察,65,resource_index,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
101,macro-correct,https://github.com/yongzhuo/macro-correct,68,Python,Apache-2.0,2026-05-31,工具,高,高,中文文本纠错（拼写/标点/繁体/古文/病句）,推荐,76,grammar_correction,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
102,academic-scrivener-howto,https://github.com/davepwsmith/academic-scrivener-howto,66,,,2026-02-26,教程,低,高,Scrivener+Zotero+Pandoc学术写作指南,可观察,62,academic_polish;citation_reference;markdown_latex_typst;zotero_obsidian;writing_guide,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
103,awesome-academic-writing,https://github.com/maehr/awesome-academic-writing,63,HTML,CC0-1.0,2026-06-02,资源合集,低,高,学术写作资源精选列表（已合并至writing-resources）,推荐,70,academic_polish;resource_index,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
104,paper_writing_checklist,https://github.com/khufkens/paper_writing_checklist,61,,GPL-3.0,2026-03-10,资源,中,高,论文写作/审阅检查清单,推荐,72,academic_polish;resource_index,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
105,stanford-thesis-example,https://github.com/dcroote/stanford-thesis-example,61,TeX,MIT,2026-03-15,LaTeX模板,低,高,Stanford学位论文LaTeX模板,可观察,62,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
106,doom-emacs-config,https://github.com/tefkah/doom-emacs-config,56,Emacs Lisp,,2025-09-29,编辑器配置,低,高,Doom Emacs学术写作（无干扰写作）配置,可观察,58,academic_polish,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
107,tac-writer,https://github.com/narayanls/tac-writer,55,Python,GPL-3.0,2026-05-24,工具,低,高,连续论证技术学术写作助手,可观察,65,academic_polish;logic_argument,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
108,awesome-researchclaw,https://github.com/SUSTech-GenAI/awesome-researchclaw,55,,CC0-1.0,2026-06-01,资源合集,中,高,ResearchClaw生态系统项目精选,可观察,68,resource_index,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
109,snuthesis,https://github.com/zeta709/snuthesis,53,TeX,,2026-05-03,LaTeX模板,中,高,首尔国立大学学位论文LaTeX模板,可观察,68,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
110,nthu-thesis-template,https://github.com/HW-Lee/nthu-thesis-template,50,TeX,,2026-05-04,LaTeX模板,中,高,台湾清华大学学位论文LaTeX模板,可观察,66,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
111,UMN-PhD-Thesis-Template,https://github.com/agude/UMN-PhD-Thesis-Template,50,TeX,,2026-05-15,LaTeX模板,低,高,Minnesota大学PhD论文LaTeX模板,可观察,62,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
112,paper-orchestra,https://github.com/google-research/paper-orchestra,49,Python,Apache-2.0,2026-06-04,Agent工作流,中,高,多Agent自动化AI论文写作框架（Google Research）,推荐,72,academic_polish;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
113,shuthesis,https://github.com/ahhylau/shuthesis,47,TeX,,2026-04-03,LaTeX模板,高,高,上海大学学位论文LaTeX模板,推荐,74,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
114,ZHAW_thesis-template,https://github.com/matteodelucchi/ZHAW_thesis-template,46,TeX,,2026-04-26,LaTeX模板,低,高,苏黎世应用科技大学论文模板,可观察,60,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
115,social-science-paper-writing-skill,https://github.com/fakerqwq/social-science-paper-writing-skill,45,,,2026-06-04,Skill,高,高,社科论文写作Codex/ChatGPT Skill,推荐,74,academic_polish;ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
116,polsl-aei-theses,https://github.com/ksiminski/polsl-aei-theses,45,TeX,,2026-04-15,LaTeX模板,低,高,西里西亚工业大学论文模板,可观察,60,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
117,PKief/latex-thesis-template,https://github.com/PKief/latex-thesis-template,44,TeX,,2026-05-27,LaTeX模板,低,高,简洁LaTeX学士/硕士论文模板,可观察,62,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
118,CTCDataset,https://github.com/zejunwang1/CTCDataset,40,Python,,2026-06-03,数据集,高,高,中文文本纠错数据集汇总,推荐,75,grammar_correction;dataset_model,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
119,FHDWPB/latex-thesis-template,https://github.com/FHDWPB/latex-thesis-template,39,TeX,Apache-2.0,2026-05-21,LaTeX模板,低,高,FHDW学位论文LaTeX模板,可观察,60,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
120,chatgpt-academic-prompt-helper,https://github.com/ZinYY/chatgpt-academic-prompt-helper,39,JavaScript,,2026-03-12,浏览器插件,高,高,Tampermonkey学术ChatGPT Prompt模板助手,推荐,74,markdown_latex_typst;writing_prompt,prompt_template,medium,medium,no,yes,no,no,,Auto-classified: prompt_template
121,cuzthesis,https://github.com/xiehao/cuzthesis,38,TeX,,2026-05-12,LaTeX模板,高,高,浙江传媒学院学位论文LaTeX模板,推荐,73,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
122,njusttt,https://github.com/pasteller/njusttt,36,TeX,MIT,2026-05-29,LaTeX模板,高,高,南京理工大学学位论文LaTeX模板（新版）,推荐,73,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
123,prof8,https://github.com/srush/prof8,35,TeX,,2025-05-06,工具,低,高,实验论文写作linter,可观察,62,academic_polish,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
124,T5Corrector,https://github.com/Macielyoung/T5Corrector,34,Python,,2026-01-13,工具,高,高,基于T5模型的中文文本纠错,推荐,74,grammar_correction;dataset_model,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
125,BJFUThesis,https://github.com/DeeDive/BJFUThesis,34,BibTeX Style,,2026-05-31,LaTeX模板,高,高,北京林业大学学位论文LaTeX模板,推荐,73,markdown_latex_typst,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
126,Academic-paper-writing,https://github.com/KejiaZhang-Robust/Academic-paper-writing,32,,MIT,2026-05-01,教程,中,高,学术会议论文写作完整指南,推荐,72,academic_polish;writing_guide,checklist_rule,low,medium,yes,no,no,no,,Auto-classified: checklist_rule
127,shnuthesis,https://github.com/andy123t/shnuthesis,32,BibTeX Style,MIT,2026-05-31,LaTeX模板,高,高,上海师范大学学位论文LaTeX模板,推荐,73,markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
128,Gector_chinese,https://github.com/taishan1994/Gector_chinese,29,Python,,2025-07-10,工具,高,高,基于seq2edit(Gector)的中文文本纠错,推荐,72,grammar_correction,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
129,Research-Paper-Writing-Mastery,https://github.com/rohanmistry231/Research-Paper-Writing-Mastery,29,,MIT,2026-05-05,教程,中,高,论文写作资源中心（模板/指南/自动化工具）,可观察,65,academic_polish;markdown_latex_typst;writing_guide;resource_index,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
130,Zhi,https://github.com/google/Zhi,28,Python,Apache-2.0,2024-10-25,工具,中,高,Google交互式LaTeX论文写作（Google Drive集成）,可观察,68,academic_polish;markdown_latex_typst,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
131,claude-code-paper-writing,https://github.com/Chanw-research/claude-code-paper-writing,27,TeX,LPPL-1.3c,2026-06-02,Skill,中,高,Claude Code论文写作Skill,可观察,66,academic_polish;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
132,paper-writer-skill,https://github.com/kgraph57/paper-writer-skill,27,Python,,2026-06-03,Skill,中,高,全流程学术论文写作Skill（IMRAD格式）,可观察,68,academic_polish;ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
133,stats-paper-writing-agent-skills,https://github.com/fuhaoda/stats-paper-writing-agent-skills,26,Python,Other,2026-06-04,Skill包,中,高,统计学论文写作Agent Skills,可观察,66,academic_polish;ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
134,paper-mentor,https://github.com/DennisWei9898/paper-mentor,26,PowerShell,Other,2026-05-29,Agent,中,高,虚拟研究顾问（化学/材料/苏格拉底式）,可观察,65,ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
135,Trivium,https://github.com/MetaQiu/Trivium,24,Python,,2026-05-08,Agent工作流,中,高,多Agent协作论文写作（Claude+Codex+Gemini）,可观察,66,academic_polish;ai_agent_workflow,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
136,Paper-Writing-Rebuttal,https://github.com/LeiBAI/Paper-Writing-Rebuttal,22,,,2026-04-06,教程,中,高,论文写作与 rebuttal 技巧,可观察,68,academic_polish;writing_guide,checklist_rule,medium,medium,no,no,no,no,,Auto-classified: checklist_rule
137,Research-Skills,https://github.com/s-choung/Research-Skills,22,HTML,MIT,2026-06-03,Skill包,中,高,科研Skills（论文写作/图表/文档/韩国研究文书）,可观察,64,academic_polish;ai_agent_workflow,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
138,SEresearchGuide,https://github.com/ccywch/SEresearchGuide,21,,,2026-03-18,教程,低,高,LaTeX论文写作指南,可观察,60,academic_polish;markdown_latex_typst;writing_guide,format_template_reference,medium,medium,no,no,no,no,,Auto-classified: format_template_reference
139,writing-polishment-with-simile,https://github.com/mrzjy/writing-polishment-with-simile,21,Python,,2025-03-03,工具,高,中,AAAI2021论文：比喻修辞写作润色,可观察,62,academic_polish,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
140,vibe-paper-writing,https://github.com/Zhangyanbo/vibe-paper-writing,19,TeX,MIT,2026-05-20,Skill,中,高,自然语言转换LaTeX论文Skill,可观察,64,markdown_latex_typst;ai_agent_workflow,format_template_reference,low,medium,yes,no,no,no,,Auto-classified: format_template_reference
141,pycorrector（FreeFlyXiaoMa）,https://github.com/FreeFlyXiaoMa/pycorrector,72,Python,Apache-2.0,2026-05-07,工具,高,高,错别字纠正（调用pycorrector接口+规则）,可观察,70,grammar_correction,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
142,csc_dataset_de3,https://github.com/yongzhuo/csc_dataset_de3,0,,Apache-2.0,2025-05-06,数据集,高,高,"14万中文文本纠错数据集（""的地得""专项）",可观察,68,grammar_correction;dataset_model,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
143,AcademicGPT,https://github.com/Ezharjan/AcademicGPT,30,Python,GPL-3.0,2026-02-11,工具,中,高,ChatGPT-Academic改进版,可观察,65,resource_index,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
144,chatgpt_academic_desktop,https://github.com/AllenXiao95/chatgpt_academic_desktop,14,TypeScript,GPL-3.0,2025-08-21,桌面软件,中,中,ChatGPT Academic跨端桌面版,可观察,60,resource_index,resource_index_only,high,medium,no,no,no,no,,Auto-classified: resource_index_only
145,awesome-scientific-writing,https://github.com/writing-resources/awesome-scientific-writing,,HTML,CC0-1.0,2026-06-02,资源合集,低,高,科学写作资源大全（awesome-academic-writing合并于此）,推荐,72,academic_polish;resource_index,resource_index_only,low,medium,yes,no,no,no,,Auto-classified: resource_index_only
146,Academic-Writing-Check（原perl版）,https://github.com/devd/Academic-Writing-Check,597,Perl,,2026-05-14,工具,低,高,学术写作被动语态/弱词/重复词检测,推荐,70,academic_polish,resource_index_only,medium,medium,no,no,no,no,,Auto-classified: resource_index_only
